Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
PC1,667822at3193,3,Maize;Rice;Arabidopsis,Zm00001eb066580,,,,,,,,LOC_Os08g01008,,AT1G10820
PC1,5015745at2759,3,Maize;Barley;Arabidopsis,Zm00001eb068160,Anti-sigma factor antagonist domain of sulfate transporter91,SULFATE TRANSPORTER 3.3-RELATED (PTHR11814:SF93),transporter(PC00227),transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020),,,HORVU.MOREX.r3.5HG0484810,AT1G22150
PC1,2612708at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb068600,EamA domain-containing protein,OS04G0645600 PROTEIN (PTHR23051:SF12),secondary carrier transporter(PC00258),,,,SORBI_3009G198500,,,AT1G52280
PC1,4782124at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb068710,Cyclic nucleotide-gated ion channel 9,CYCLIC NUCLEOTIDE-GATED ION CHANNEL 5-RELATED (PTHR45651:SF52),ligand-gated ion channel(PC00141),monoatomic ion channel activity(GO:0005216),monoatomic ion transport(GO:0006811);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085),endomembrane system(GO:0012505);membrane(GO:0016020),SORBI_3003G317700,,,AT3G17700;AT5G15410
PC1,503753at2759,3,Maize;Rice;Arabidopsis,Zm00001eb070350,Nitrate-induced NOI protein,,,,,,,LOC_Os09g02530,,AT5G63270
PC1,4999845at2759,3,Maize;Barley;Arabidopsis,Zm00001eb071040,cinnamyl-alcohol dehydrogenase,CINNAMYL ALCOHOL DEHYDROGENASE 7 (PTHR42683:SF77),oxidoreductase(PC00176),"zinc ion binding(GO:0008270);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);cinnamyl-alcohol dehydrogenase activity(GO:0045551);metal ion binding(GO:0046872)",lignin biosynthetic process(GO:0009809),,,,HORVU.MOREX.r3.3HG0313020;HORVU.MOREX.r3.6HG0575530,AT3G19450;AT4G34230;AT4G39330
PC1,144035at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb072000,60S ribosomal protein L12,60S RIBOSOMAL PROTEIN L12 (PTHR11661:SF40),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735);large ribosomal subunit rRNA binding(GO:0070180),translation(GO:0006412),ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904),SORBI_3006G201500,,,AT3G53430;AT5G60670
PC1,4819616at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb074210,,,,,,,SORBI_3010G164100,,,AT3G53420;AT4G00430;AT5G47450;AT5G60660
PC1,667822at3193,3,Maize;Rice;Arabidopsis,Zm00001eb077010,,,,,,,,LOC_Os08g01008,,AT1G10820
PC1,33915at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb080670,MADS-box transcription factor 27,MADS-BOX TRANSCRIPTION FACTOR 27 (PTHR48019:SF111),MADS box transcription factor(PC00250),"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634),SORBI_3007G135301,,,AT3G57230
PC1,705275at2759,3,Maize;Barley;Arabidopsis,Zm00001eb096820,,,,,,,,,HORVU.MOREX.r3.6HG0556600,AT1G04610
PC1,44904at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb104630,Eukaryotic aspartyl protease family protein,OS02G0314600 PROTEIN (PTHR13683:SF811),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),,SORBI_3002G367900,,,AT3G59080
PC1,5000271at2759,3,Maize;Rice;Arabidopsis,Zm00001eb108760,Nuclear transcription factor Y subunit B-2,NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT BETA (PTHR11064:SF9),DNA-binding transcription factor(PC00218),"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription activator activity, RNA polymerase II-specific(GO:0001228);DNA binding(GO:0003677);sequence-specific DNA binding(GO:0043565);protein heterodimerization activity(GO:0046982)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634);CCAAT-binding factor complex(GO:0016602),,LOC_Os03g04130,,AT4G14540
PC1,311215at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb111710,,,,,,,SORBI_3002G423300,,,AT5G49620
PC1,157436at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb117770,,,,,,,SORBI_3001G074400,,,AT1G10020;AT4G29310
PC1,624469at2759,3,Maize;Sorghum;Rice,Zm00001eb122300,,,,,,,SORBI_3003G219700;SORBI_3003G219800,LOC_Os01g01790,,
PC1,512984at3193,3,Maize;Barley;Arabidopsis,Zm00001eb122740,Transcription factor HY5-like,OS01G0174000 PROTEIN (PTHR46714:SF4),DNA-binding transcription factor(PC00218),,,,,,HORVU.MOREX.r3.7HG0713820,AT3G17609
PC1,4819616at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb123230,,,,,,,SORBI_3010G164100,,,AT3G53420;AT4G00430;AT5G47450;AT5G60660
PC1,683452at2759,3,Maize;Barley;Arabidopsis,Zm00001eb124810,Octicosapeptide_Phox_Bem1p family protein,EXPRESSED PROTEIN (PTHR31066:SF27),,,,,,,HORVU.MOREX.r3.3HG0226800,AT5G16220
PC1,627237at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb126980,,,,,,,SORBI_3001G032000;SORBI_3001G133900,,,AT1G12110;AT1G32450;AT1G52190;AT1G68570;AT3G45680;AT5G46050
PC1,4810817at2759,3,Maize;Sorghum;Barley,Zm00001eb134010,Nodulin-like domain-containing protein,F25A4.25 PROTEIN (PTHR21576:SF22),,,,membrane(GO:0016020),SORBI_3006G138200,,HORVU.MOREX.r3.7HG0658130,
PC1,5004253at2759,3,Maize;Barley;Arabidopsis,Zm00001eb137900,Heat shock protein 90-6 mitochondrial,"HEAT SHOCK PROTEIN 90-6, MITOCHONDRIAL (PTHR11528:SF41)",Hsp90 family chaperone(PC00028),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);unfolded protein binding(GO:0051082);ATP-dependent protein folding chaperone(GO:0140662),protein folding(GO:0006457);cellular response to heat(GO:0034605);protein stabilization(GO:0050821),cytoplasm(GO:0005737);cytosol(GO:0005829);plasma membrane(GO:0005886);protein-containing complex(GO:0032991);perinuclear region of cytoplasm(GO:0048471),,,HORVU.MOREX.r3.5HG0447870,AT5G56010
PC1,265551at2759,3,Maize;Barley;Arabidopsis,Zm00001eb140440,EMP5,OS01G0959600 PROTEIN (PTHR24015:SF811),,RNA binding(GO:0003723);zinc ion binding(GO:0008270),RNA modification(GO:0009451),,,,HORVU.MOREX.r3.3HG0323440,AT3G13880
PC1,652359at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb142490,Retrovirus-related Pol polyprotein LINE-1,COILED-COIL DOMAIN-CONTAINING PROTEIN SCD2 (PTHR31762:SF4),,,cytokinesis by cell plate formation(GO:0000911),,SORBI_3003G412300,,,AT5G13260
PC1,34226at38820,3,Maize;Sorghum;Barley,Zm00001eb145660,Floral homeotic protein PISTILLATA,FLORAL HOMEOTIC PROTEIN PISTILLATA (PTHR48019:SF76),MADS box transcription factor(PC00250),"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);flower development(GO:0009908);specification of floral organ identity(GO:0010093);cell differentiation(GO:0030154);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634),SORBI_3003G379000,,HORVU.MOREX.r3.3HG0307160,
PC1,599360at2759,3,Maize;Rice;Arabidopsis,Zm00001eb145670,,,,,,,,LOC_Os07g01340,,AT1G58360
PC1,5004281at2759,3,Maize;Barley;Arabidopsis,Zm00001eb145690,Probable magnesium transporter,MAGNESIUM TRANSPORTER-RELATED (PTHR12570:SF91),secondary carrier transporter(PC00258),magnesium ion transmembrane transporter activity(GO:0015095),monoatomic ion transport(GO:0006811);magnesium ion transport(GO:0015693);magnesium ion transmembrane transport(GO:1903830),early endosome(GO:0005769);plasma membrane(GO:0005886);membrane(GO:0016020),,,HORVU.MOREX.r3.7HG0746590,AT2G21120
PC1,439142at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb147810,ubiquitinyl hydrolase 1,ATAXIN-3-RELATED (PTHR14159:SF0),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",cysteine-type deubiquitinase activity(GO:0004843);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787),proteolysis(GO:0006508);protein quality control for misfolded or incompletely synthesized proteins(GO:0006515);protein deubiquitination(GO:0016579);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);negative regulation of TORC1 signaling(GO:1904262);positive regulation of ERAD pathway(GO:1904294),nucleus(GO:0005634),SORBI_3003G358300;SORBI_3003G374000,,,AT4G06599
PC1,179088at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb148270,,,,,,,SORBI_3003G357500;SORBI_3005G005800,,,AT2G30210;AT5G03260
PC1,202899at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb150550,Cytochrome P450 98A3,CYTOCHROME P450 98A3 (PTHR24298:SF889),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)",,membrane(GO:0016020),SORBI_3009G181800,,,AT2G40890;AT5G09970
PC1,4103828at2759,3,Maize;Barley;Arabidopsis,Zm00001eb150960,GOS2-like protein,OS05G0498400 PROTEIN (PTHR10388:SF58),translation initiation factor(PC00224),,,,,,HORVU.MOREX.r3.1HG0068140,AT5G54940
PC1,257321at2759,3,Maize;Barley;Arabidopsis,Zm00001eb151040,Pectate lyase,PECTATE LYASE (PTHR31683:SF74),lyase(PC00144),lyase activity(GO:0016829);pectate lyase activity(GO:0030570);metal ion binding(GO:0046872),pectin catabolic process(GO:0045490),,,,HORVU.MOREX.r3.2HG0097810,AT1G67750
PC1,1547149at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb152650,DNA polymerase eta,DNA POLYMERASE ETA (PTHR45873:SF1),DNA metabolism protein(PC00009),damaged DNA binding(GO:0003684);DNA-directed DNA polymerase activity(GO:0003887);transferase activity(GO:0016740);metal ion binding(GO:0046872),DNA repair(GO:0006281);DNA damage tolerance(GO:0006301);DNA damage response(GO:0006974);response to radiation(GO:0009314);error-prone translesion synthesis(GO:0042276);DNA biosynthetic process(GO:0071897),nucleus(GO:0005634);replication fork(GO:0005657);site of double-strand break(GO:0035861),SORBI_3003G301400,,,AT5G44740
PC1,646613at2759,3,Maize;Sorghum;Barley,Zm00001eb155450,,,,,,,SORBI_3006G217100,,HORVU.MOREX.r3.6HG0628260,
PC1,628673at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb159580,Putative GABA transporter 2,GABA TRANSPORTER 2-RELATED (PTHR48017:SF54),,amino acid transmembrane transporter activity(GO:0015171),amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865),membrane(GO:0016020),SORBI_3003G223950,,,AT1G08230
PC1,630255at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb182940,,,,,,,SORBI_3007G059600,,,AT1G71830;AT4G33430
PC1,588513at2759,3,Maize;Rice;Arabidopsis,Zm00001eb183690,,,,,,,,LOC_Os04g04770,,AT5G67385
PC1,788495at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb186860,,,,,,,SORBI_3002G180000,,,AT1G76360;AT2G02800;AT2G45910;AT5G15080
PC1,638084at2759,3,Maize;Sorghum;Barley,Zm00001eb193090,Pectin lyase-like superfamily protein,PECTIN LYASE-LIKE SUPERFAMILY PROTEIN (PTHR31339:SF44),lyase(PC00144),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);polygalacturonase activity(GO:0004650);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);lyase activity(GO:0016829)",carbohydrate metabolic process(GO:0005975),,SORBI_3003G223100,,HORVU.MOREX.r3.7HG0636540,
PC1,4590808at2759,3,Maize;Barley;Arabidopsis,Zm00001eb194450,F-box_kelch-repeat protein SKIP11,F-BOX_KELCH-REPEAT PROTEIN SKIP11 (PTHR46122:SF2),oxidase(PC00175),,,nucleus(GO:0005634),,,HORVU.MOREX.r3.2HG0195300,AT1G26930
PC1,541798at2759,3,Maize;Barley;Arabidopsis,Zm00001eb199160,Arginine_serine-rich splicing factor SC30 transcript III,SERINE_ARGININE-RICH SPLICING FACTOR 2 (PTHR23147:SF22),RNA splicing factor(PC00148),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729),"regulation of alternative mRNA splicing, via spliceosome(GO:0000381);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",nucleus(GO:0005634);nuclear speck(GO:0016607),,,HORVU.MOREX.r3.6HG0626050,AT1G18630
PC1,5004253at2759,3,Maize;Barley;Arabidopsis,Zm00001eb199590,,,,,,,,,HORVU.MOREX.r3.5HG0447870,AT5G56010
PC1,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb199600,,,,,,,SORBI_3003G420500,,,AT5G57110
PC1,412870at2759,3,Maize;Barley;Arabidopsis,Zm00001eb205250,,,,,,,,,HORVU.MOREX.r3.7HG0716180,AT1G50370
PC1,530678at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb206840,glucose-6-phosphate 1-epimerase,GLUCOSE-6-PHOSPHATE 1-EPIMERASE (PTHR11122:SF19),,catalytic activity(GO:0003824);isomerase activity(GO:0016853);carbohydrate binding(GO:0030246);glucose-6-phosphate 1-epimerase activity(GO:0047938),carbohydrate metabolic process(GO:0005975),cytoplasm(GO:0005737),SORBI_3003G244000,,,AT3G01590;AT3G61610;AT5G57330
PC1,2547374at2759,3,Maize;Barley;Arabidopsis,Zm00001eb208540,NAD(P)-linked oxidoreductase superfamily protein,NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN (PTHR11732:SF209),reductase(PC00198),"aldose reductase (NADPH) activity(GO:0004032);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);aldose-6-phosphate reductase (NADPH) activity(GO:0047641)",,cytosol(GO:0005829),,,HORVU.MOREX.r3.4HG0393620,AT2G21250;AT2G21260;AT5G01670
PC1,4854762at2759,3,Maize;Sorghum;Barley,Zm00001eb209660,,,,,,,SORBI_3009G181700,,HORVU.MOREX.r3.6HG0619210;HORVU.MOREX.r3.7HG0725980;HORVU.MOREX.r3.7HG0746550,
PC1,474274at3193,3,Maize;Barley;Arabidopsis,Zm00001eb210600,Cleavage and polyadenylation specificity factor subunit 3-I,CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 3 (PTHR11203:SF11),RNA processing factor(PC00147),RNA binding(GO:0003723);nuclease activity(GO:0004518);RNA endonuclease activity(GO:0004521);5'-3' RNA exonuclease activity(GO:0004534);hydrolase activity(GO:0016787),RNA processing(GO:0006396);mRNA processing(GO:0006397);mRNA 3'-end processing by stem-loop binding and cleavage(GO:0006398),nucleus(GO:0005634);mRNA cleavage and polyadenylation specificity factor complex(GO:0005847),,,HORVU.MOREX.r3.5HG0504930,AT1G61010
PC1,324745at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb212670,procollagen-proline 4-dioxygenase,PROCOLLAGEN-PROLINE 4-DIOXYGENASE (PTHR10869:SF222),protein modifying enzyme(PC00260),,,,SORBI_3002G068600,,,AT2G17720;AT4G33910
PC1,741905at2759,3,Maize;Rice;Arabidopsis,Zm00001eb212690,,,,,,,,LOC_Os03g08030;LOC_Os10g01540,,AT5G11150
PC1,4804397at2759,3,Maize;Rice;Arabidopsis,Zm00001eb213000,,,,,,,,LOC_Os05g01690,,AT3G04780;AT3G08710
PC1,158527at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb214650,60S ribosomal protein L13a-1,LARGE RIBOSOMAL SUBUNIT PROTEIN UL13X-RELATED (PTHR11545:SF39),ribosomal protein(PC00202),mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735),translation(GO:0006412);negative regulation of translation(GO:0017148),ribosome(GO:0005840);large ribosomal subunit(GO:0015934);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904),SORBI_3001G085400,,,AT4G13170;AT5G48760
PC1,180961at2759,3,Maize;Sorghum;Barley,Zm00001eb214670,ABC transporter B family member 27,ABC TRANSPORTER B FAMILY MEMBER 27 (PTHR24221:SF547),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359),response to aluminum ion(GO:0010044);transmembrane transport(GO:0055085),vacuole(GO:0005773);vacuolar membrane(GO:0005774);membrane(GO:0016020),SORBI_3001G085600,,HORVU.MOREX.r3.5HG0511460,
PC1,4820964at2759,3,Maize;Barley;Arabidopsis,Zm00001eb222510,H(+)_Pi cotransporter,INORGANIC PHOSPHATE TRANSPORTER 1-8-RELATED (PTHR24064:SF674),secondary carrier transporter(PC00258),phosphate transmembrane transporter activity(GO:0005315);symporter activity(GO:0015293);transmembrane transporter activity(GO:0022857),phosphate ion transport(GO:0006817);transmembrane transport(GO:0055085),membrane(GO:0016020),,,HORVU.MOREX.r3.4HG0332850;HORVU.MOREX.r3.4HG0411330,AT2G38940;AT5G43370
PC1,2467431at2759,3,Maize;Rice;Arabidopsis,Zm00001eb233720,4-coumarate--CoA ligase,4-COUMARATE--COA LIGASE 3 (PTHR24096:SF300),ligase(PC00142),nucleotide binding(GO:0000166);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);CoA-ligase activity(GO:0016405);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290),phenylpropanoid metabolic process(GO:0009698),,,LOC_Os03g01320,,AT4G05160
PC1,412870at2759,3,Maize;Barley;Arabidopsis,Zm00001eb240190,,,,,,,,,HORVU.MOREX.r3.7HG0716180,AT1G50370
PC1,651258at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb244120,Chloride channel protein,CHLORIDE CHANNEL PROTEIN (PTHR11689:SF145),ion channel(PC00133),voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707),SORBI_3003G374400,,,AT3G27170
PC1,588513at2759,3,Maize;Rice;Arabidopsis,Zm00001eb244600,,,,,,,,LOC_Os04g04770,,AT5G67385
PC1,33915at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb245070,,,,,,,SORBI_3007G135301,,,AT3G57230
PC1,663580at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb251530,,,,,,,SORBI_3006G201000,,,AT1G30650
PC1,620210at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb261190,adenylate kinase,"ADENYLATE KINASE 7, MITOCHONDRIAL-RELATED (PTHR23359:SF86)",nucleotide kinase(PC00172),nucleotide binding(GO:0000166);AMP kinase activity(GO:0004017);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);nucleobase-containing compound kinase activity(GO:0019205),nucleobase-containing compound metabolic process(GO:0006139);nucleoside monophosphate phosphorylation(GO:0046940),cytoplasm(GO:0005737);mitochondrion(GO:0005739),SORBI_3007G022600,,,AT2G37250
PC1,588513at2759,3,Maize;Rice;Arabidopsis,Zm00001eb261890,,,,,,,,LOC_Os04g04770,,AT5G67385
PC1,489515at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb269820,Putative O-glycosyl hydrolase family 17 protein,"GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 11 (PTHR32227:SF29)",glucosidase(PC00108),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)",carbohydrate metabolic process(GO:0005975),plasma membrane(GO:0005886),SORBI_3010G155500,,,AT2G27500
PC1,656079at2759,3,Maize;Sorghum;Barley,Zm00001eb271320,Transcription elongation factor 1 homolog,TRANSCRIPTION ELONGATION FACTOR 1 HOMOLOG (PTHR20934:SF21),,RNA polymerase II complex binding(GO:0000993);translation elongation factor activity(GO:0003746);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),transcription elongation by RNA polymerase II(GO:0006368);translational elongation(GO:0006414),nucleus(GO:0005634);transcription elongation factor complex(GO:0008023),SORBI_3010G053200,,HORVU.MOREX.r3.7HG0653670;HORVU.MOREX.r3.7HG0653680,
PC1,619276at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb277000,Acyl-[acyl-carrier-protein] hydrolase,ACYL-[ACYL-CARRIER-PROTEIN] HYDROLASE (PTHR31727:SF3),esterase(PC00097),acyl carrier activity(GO:0000036);fatty acyl-[ACP] hydrolase activity(GO:0016297);hydrolase activity(GO:0016787);thiolester hydrolase activity(GO:0016790),lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633),chloroplast(GO:0009507),SORBI_3002G111500,,,AT4G13050
PC1,2174516at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb286910,Cytochrome P450 CYP94E4,OS05G0382500 PROTEIN (PTHR24296:SF81),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)",lipid metabolic process(GO:0006629),,SORBI_3005G037000,,,AT1G34540
PC1,4750521at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb288410,Bidirectional sugar transporter SWEET,BIDIRECTIONAL SUGAR TRANSPORTER SWEET1 (PTHR10791:SF44),,protein homodimerization activity(GO:0042803);sugar transmembrane transporter activity(GO:0051119),carbohydrate transport(GO:0008643);carbohydrate transmembrane transport(GO:0034219),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3001G373600,,,AT3G48740
PC1,2690913at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb288430,,,,,,,SORBI_3003G240100;SORBI_3003G240400;SORBI_3010G152000,,,AT5G06230
PC1,2547374at2759,3,Maize;Barley;Arabidopsis,Zm00001eb290330,NADP-dependent oxidoreductase domain-containing protein,NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN (PTHR11732:SF164),reductase(PC00198),,,,,,HORVU.MOREX.r3.4HG0393620,AT2G21250;AT2G21260;AT5G01670
PC1,637706at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb290990,Protein LURP-one-related 8,OS05G0484800 PROTEIN (PTHR31087:SF164),,,,,SORBI_3003G335900,,,AT5G41590
PC1,4854762at2759,3,Maize;Sorghum;Barley,Zm00001eb291450,WAT1-related protein,WAT1-RELATED PROTEIN (PTHR31218:SF373),,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3009G181700,,HORVU.MOREX.r3.6HG0619210;HORVU.MOREX.r3.7HG0725980;HORVU.MOREX.r3.7HG0746550,
PC1,475388at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb293110,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",BCDNA.GH08860 (PTHR10788:SF106),,"catalytic activity(GO:0003824);alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity(GO:0003825);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);hexosyltransferase activity(GO:0016758)",trehalose biosynthetic process(GO:0005992),,SORBI_3001G450800;SORBI_3009G199100,,,AT1G06410
PC1,646613at2759,3,Maize;Sorghum;Barley,Zm00001eb301380,,,,,,,SORBI_3006G217100,,HORVU.MOREX.r3.6HG0628260,
PC1,674615at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb314350,Oxidoreductase_ transition metal ion binding protein,OXIDOREDUCTASE_TRANSITION METAL ION-BINDING PROTEIN (PTHR33306:SF5),,,,,SORBI_3002G219400,,,AT2G31940
PC1,650895at3193,3,Maize;Barley;Arabidopsis,Zm00001eb315010,,,,,,,,,HORVU.MOREX.r3.5HG0486750,AT1G47380;AT1G68410
PC1,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb317200,,,,,,,SORBI_3003G420500,,,AT5G57110
PC1,4103828at2759,3,Maize;Barley;Arabidopsis,Zm00001eb323110,Protein translation factor SUI1 homolog,EUKARYOTIC TRANSLATION INITIATION FACTOR EIF1 (PTHR10388:SF4),translation initiation factor(PC00224),RNA binding(GO:0003723);mRNA binding(GO:0003729);translation initiation factor activity(GO:0003743),translation(GO:0006412);translational initiation(GO:0006413);regulation of translation(GO:0006417),,,,HORVU.MOREX.r3.1HG0068140,AT5G54940
PC1,2496771at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb328470,IQ domain-containing protein IQM2,OS07G0633400 PROTEIN (PTHR31250:SF16),,,,nucleus(GO:0005634);cytoplasm(GO:0005737),SORBI_3001G358200,,,AT3G13600;AT3G52870
PC1,605515at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb330700,Vacuolar-sorting receptor 1,OS07G0680000 PROTEIN (PTHR24034:SF186),extracellular matrix structural protein(PC00103),calcium ion binding(GO:0005509),protein targeting to vacuole(GO:0006623);Golgi to vacuole transport(GO:0006896);protein transport(GO:0015031),Golgi membrane(GO:0000139);endosome(GO:0005768);trans-Golgi network(GO:0005802);Golgi transport complex(GO:0017119);clathrin-coated vesicle membrane(GO:0030665);cytoplasmic vesicle(GO:0031410),SORBI_3002G418300,,,AT1G30900
